product_id,Brand,category,Final_Price,Discount_Perc,Initial_Price,CSI_category,rating,ratings_count,category_group,value_score,adjusted_rating,has_discount,RVR_category,size_count,image_count,CSI,star_bucket,missing_sizes_flag,missing_images_flag,RVR,price_tier,value_tier,Discount_Bin,size_comp_tier,image_completeness,image_comp_tier,size_completeness
18602872.0,My Room,bedsheets,35.988,0.0,35.988,81.62499999999999,4.7,10,Home & Living,145.77872528239547,52.46284765462848,No Discount,100.0,3,4,79.11319450783014,5★,0,1,451.1235294117647,Premium,Mid,,High (≥66%),0.5714285714285714,Mid (50–85%),1.0
18602850.0,My Room,bedsheets,35.988,0.0,35.988,81.62499999999999,4.5,22,Home & Living,139.57537527037863,50.230386052303864,No Discount,220.00000000000003,1,4,79.11319450783014,4★,1,1,451.1235294117647,Premium,Mid,,Mid (33–66%),0.5714285714285714,Mid (50–85%),0.3333333333333333
8961147.0,Story@home,bedsheets,26.388,0.0,26.388,81.62499999999999,3.7,7,Home & Living,156.51258012356146,41.3005396430054,No Discount,70.0,1,4,79.11319450783014,4★,1,1,451.1235294117647,Premium,Mid,,Mid (33–66%),0.5714285714285714,Mid (50–85%),0.3333333333333333
8430275.0,MYTRIDENT,bedsheets,26.388,0.0,26.388,81.62499999999999,4.4,26,Home & Living,186.12306825504606,49.11415525114156,No Discount,260.0,1,3,79.11319450783014,4★,1,1,451.1235294117647,Premium,Mid,,Mid (33–66%),0.42857142857142855,Low (≤50%),0.3333333333333333
18346118.0,Arrabi,bedsheets,10.38,0.74,39.948,81.62499999999999,0.0,0,Home & Living,0.0,0.0,Discounted,0.0,1,4,79.11319450783014,,1,1,451.1235294117647,Mid,Low,0–10%,Mid (33–66%),0.5714285714285714,Mid (50–85%),0.3333333333333333
18327434.0,BELLA CASA,bedsheets,4.848,0.73,17.988,81.62499999999999,0.0,0,Home & Living,0.0,0.0,Discounted,0.0,1,7,79.11319450783014,,1,0,451.1235294117647,Low,Low,0–10%,Mid (33–66%),1.0,High (≥85%),0.3333333333333333
18492504.0,ROMEE,bedsheets,41.988,0.0,41.988,81.62499999999999,3.9,10,Home & Living,103.67962571527582,43.53300124533001,No Discount,100.0,1,5,79.11319450783014,4★,1,1,451.1235294117647,Premium,Low,,Mid (33–66%),0.7142857142857143,Mid (50–85%),0.3333333333333333
13729978.0,DDecor,bedsheets,19.188,0.0,19.188,81.62499999999999,3.6,15,Home & Living,209.42416532125856,40.18430884184309,No Discount,150.0,1,5,79.11319450783014,4★,1,1,451.1235294117647,Mid,Mid,,Mid (33–66%),0.7142857142857143,Mid (50–85%),0.3333333333333333
19788630.0,Home Ecstasy,bedsheets,14.388,0.0,14.388,81.62499999999999,4.5,6,Home & Living,349.1130529073107,50.230386052303864,No Discount,60.0,2,4,79.11319450783014,4★,1,1,451.1235294117647,Mid,Premium,,High (≥66%),0.5714285714285714,Mid (50–85%),0.6666666666666666
20296382.0,DREAM WEAVERZ,bedsheets,31.188000000000002,0.0,31.188000000000002,81.62499999999999,3.8,18,Home & Living,136.00349635811114,42.4167704441677,No Discount,180.0,1,7,79.11319450783014,4★,1,0,451.1235294117647,Premium,Mid,,Mid (33–66%),1.0,High (≥85%),0.3333333333333333
